published_date,year,language,title,content_status,content_type,primary_category,all_categories,word_count,excerpt,url
2017-11-18,2017,Dutch,Welkom op de website van de Vereniging van Grieken in Nederland! Welkom in Het Griekse Huis in Rotterdam!,full_text,Community update,Welcome!,Welcome!,18,Welkom op de website van de Vereniging van Grieken in Nederland! Welkom in Het Griekse Huis in Rotterdam!,https://vvgn.eu/nl/2017/11/18/welkom/
2018-06-01,2018,Dutch,"Mode & lekkernijen, zomer 2018",full_text,Community update,Mode & lekkernijen,Mode & lekkernijen,156,"Mode & lekker eten Beste leden en vrienden van de Vereniging, Hiermede willen wij u voor een gezellige middag uitnodigen op zaterdag 9 juni van 12:00-15.00 uur in het ontmoetingshuis van de Vereniging aan de Van Vollenhovenstraat 18. Vrienden van de Vereniging, Lily Kamerman en Maria ...",https://vvgn.eu/nl/2018/06/01/%ce%bc%cf%8c%ce%b4%ce%b1-%ce%bb%ce%b9%cf%87%ce%bf%cf%85%ce%b4%ce%b9%ce%ad%cf%82-%ce%ba%ce%b1%ce%bb%ce%bf%ce%ba%ce%b1%ce%af%cf%81%ce%b9-2018/
2018-10-14,2018,Dutch,(Ελληνικά) 19 Οκτώβρη 2018: Βραδιά Δραστηριοτήτων & Βραδιά Σινεμά,placeholder_only,Cultural program activity,Βραδιές Σινεμά,Βραδιές Σινεμά; Δραστηριότητες του Ελληνικού Σπιτιού στο Ρότερνταμ,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2018/10/14/19-%ce%bf%ce%ba%cf%84%cf%8e%ce%b2%cf%81%ce%b7-2018-%ce%b2%cf%81%ce%b1%ce%b4%ce%b9%ce%ac-%ce%b4%cf%81%ce%b1%cf%83%cf%84%ce%b7%cf%81%ce%b9%ce%bf%cf%84%ce%ae%cf%84%cf%89%ce%bd-%ce%b2%cf%81%ce%b1%ce%b4/
2018-10-14,2018,Dutch,(Ελληνικά) Θεατρικό Παιχνίδι – Κουκλοθέατρο στο Ελληνικό Σπίτι στο Ρότερνταμ,placeholder_only,Community update,Theatraal spel – Puppet show,Theatraal spel – Puppet show,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2018/10/14/%ce%b8%ce%b5%ce%b1%cf%84%cf%81%ce%b9%ce%ba%cf%8c-%cf%80%ce%b1%ce%b9%cf%87%ce%bd%ce%af%ce%b4%ce%b9-%ce%ba%ce%bf%cf%85%ce%ba%ce%bb%ce%bf%ce%b8%ce%ad%ce%b1%cf%84%cf%81%ce%bf-%cf%83%cf%84%ce%bf-%ce%b5/
2018-10-14,2018,Dutch,(Ελληνικά) Συναντήσεις Ελλήνων Επαγγελματιών σε μεγάλες ολλανδικές πόλεις,placeholder_only,Cultural program activity,Συναντήσεις Ελλήνων Επαγγελματιών στην Ολλανδία,Συναντήσεις Ελλήνων Επαγγελματιών στην Ολλανδία,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2018/10/14/%cf%83%cf%85%ce%bd%ce%b1%ce%bd%cf%84%ce%ae%cf%83%ce%b5%ce%b9%cf%82-%ce%b5%ce%bb%ce%bb%ce%ae%ce%bd%cf%89%ce%bd-%ce%b5%cf%80%ce%b1%ce%b3%ce%b3%ce%b5%ce%bb%ce%bc%ce%b1%cf%84%ce%b9%cf%8e%ce%bd-%cf%83/
2018-10-14,2018,Greek,19 Οκτώβρη 2018: Βραδιά Δραστηριοτήτων & Βραδιά Σινεμά,full_text,Cultural program activity,Βραδιές Σινεμά,Βραδιές Σινεμά; Δραστηριότητες του Ελληνικού Σπιτιού στο Ρότερνταμ,125,"Όπως κάθε Παρασκευή, έτσι και την ερχόμενη Παρασκευή 19 Οκτωβρίου σας περιμένουμε στις 19:30, στο Ελληνικό Σπίτι στο Ρότερνταμ, με καλωσόρισμα νεοαφιχθέντων & παροχή βασικών πληροφοριών για τη ζωή στην Ολλανδία. Αυτή την Παρασκευή στις 20:30 επιστρέφουμε με τις βραδιές σινεμά και προβάλλουμε “Το κορίτσι με ...",https://vvgn.eu/el/2018/10/14/19-%CE%BF%CE%BA%CF%84%CF%8E%CE%B2%CF%81%CE%B7-2018-%CE%B2%CF%81%CE%B1%CE%B4%CE%B9%CE%AC-%CE%B4%CF%81%CE%B1%CF%83%CF%84%CE%B7%CF%81%CE%B9%CE%BF%CF%84%CE%AE%CF%84%CF%89%CE%BD-%CE%B2%CF%81%CE%B1%CE%B4/
2018-11-02,2018,Dutch,(Ελληνικά) 5 Νοεμβρίου 2018: Έναρξης της Χορωδίας του Ελληνικού Σπιτιού στο Ρότερνταμ,placeholder_only,Cultural program activity,Η Χορωδία του Ελληνικού Σπιτιού στο Ρότερνταμ,Η Χορωδία του Ελληνικού Σπιτιού στο Ρότερνταμ,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2018/11/02/5-%ce%bd%ce%bf%ce%b5%ce%bc%ce%b2%cf%81%ce%af%ce%bf%cf%85-2018-%ce%ad%ce%bd%ce%b1%cf%81%ce%be%ce%b7%cf%82-%cf%84%ce%b7%cf%82-%cf%87%ce%bf%cf%81%cf%89%ce%b4%ce%af%ce%b1%cf%82-%cf%84%ce%bf%cf%85-%ce%b5/
2018-11-02,2018,Greek,5 Νοεμβρίου 2018: Έναρξης της Χορωδίας του Ελληνικού Σπιτιού στο Ρότερνταμ,full_text,Cultural program activity,Η Χορωδία του Ελληνικού Σπιτιού στο Ρότερνταμ,Η Χορωδία του Ελληνικού Σπιτιού στο Ρότερνταμ,170,"Το Ελληνικό Σπίτι στο Ρότερνταμ με χαρά σας ανακοινώνει την έναρξη σχηματισμού της πρώτης επίσημης Ελληνικής Χορωδίας στην Ολλανδία! Είσαι ερασιτέχνης τραγουδιστής ή μουσικός; Ήθελες πάντα να κάνεις μαθήματα φωνητικής και ν’ αποτελέσεις μέλος ενός δυνατού μουσικού σχήματος; Τότε, έλα στη χορωδία μας! Έλα να μάθεις ...",https://vvgn.eu/el/2018/11/02/5-%CE%BD%CE%BF%CE%B5%CE%BC%CE%B2%CF%81%CE%AF%CE%BF%CF%85-2018-%CE%AD%CE%BD%CE%B1%CF%81%CE%BE%CE%B7%CF%82-%CF%84%CE%B7%CF%82-%CF%87%CE%BF%CF%81%CF%89%CE%B4%CE%AF%CE%B1%CF%82-%CF%84%CE%BF%CF%85-%CE%B5/
2018-11-16,2018,Dutch,(Ελληνικά) 16 Νοέμβρη 2018: Βραδιά Δραστηριοτήτων & Βραδιά Σινεμά,placeholder_only,Cultural program activity,Βραδιές Σινεμά,Βραδιές Σινεμά,0,Translation placeholder page (no local body text).,https://vvgn.eu/nl/2018/11/16/16-%ce%bd%ce%bf%ce%ad%ce%bc%ce%b2%cf%81%ce%b7-2018-%ce%b2%cf%81%ce%b1%ce%b4%ce%b9%ce%ac-%ce%b4%cf%81%ce%b1%cf%83%cf%84%ce%b7%cf%81%ce%b9%ce%bf%cf%84%ce%ae%cf%84%cf%89%ce%bd-%ce%b2%cf%81%ce%b1%ce%b4/
2018-11-16,2018,Dutch,16 December 2018: Mode & lekkernijen,full_text,Community update,Mode & lekkernijen,Mode & lekkernijen,125,"Hiermede willen wij u voor een gezellige middag uitnodigen op zondag 16 december van 12:00-15.00 uur in het Griekse Huis in Rotterdam aan de Van Vollenhovenstraat 18. Vrienden van de Vereniging, Lily Kamerman en Maria Ortgies zullen van de merken die zij vertegenwoordigen de wintercollectie dameskleding ...",https://vvgn.eu/nl/2018/11/16/%ce%bc%cf%8c%ce%b4%ce%b1-%ce%bb%ce%b9%cf%87%ce%bf%cf%85%ce%b4%ce%b9%ce%ad%cf%82/
